Postcode,Type,Subtype,Price,Bedrooms,Area,Kitchen,Fireplace,Frontages,Garden,Garden_surface,Terrace,Terrace_Surface,Furnished,Type_of_sale,State_of_building,Swimmingpool,ID IMMOWEB,Cadastral_income,Plot_surface
1190,APARTMENT,APARTMENT,261000.0,1.0,73.0,1,0,2.0,0,,1,7.0,0,BUY_REGULAR,AS_NEW,0,20364115,,
9300,HOUSE,HOUSE,450000.0,3.0,160.0,0,0,2.0,1,65.0,1,43.0,0,BUY_REGULAR,AS_NEW,0,20364119,,233.0
1190,APARTMENT,APARTMENT,420000.0,2.0,110.0,1,0,2.0,0,,1,45.0,0,BUY_REGULAR,AS_NEW,0,20364116,,
5621,HOUSE,HOUSE,289000.0,6.0,450.0,0,0,4.0,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20283657,,1100.0
1190,APARTMENT,APARTMENT,261000.0,1.0,72.0,1,0,2.0,0,,1,6.0,0,BUY_REGULAR,AS_NEW,0,20364111,,
7880,HOUSE,HOUSE,170000.0,3.0,125.0,1,0,2.0,0,,0,,0,BUY_REGULAR,GOOD,0,20297339,313.0,477.0
1315,HOUSE,HOUSE,185000.0,3.0,177.0,0,0,,1,868.0,0,,0,BUY_REGULAR,TO_RENOVATE,0,20110147,,868.0
6030,HOUSE,HOUSE,185000.0,5.0,204.0,0,0,3.0,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20213529,1011.0,360.0
7134,HOUSE,HOUSE,175000.0,2.0,137.0,0,0,,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20203718,425.0,
6890,HOUSE,HOUSE,195000.0,4.0,150.0,0,0,,0,,0,,0,BUY_REGULAR,,0,20174028,413.0,460.0
7190,HOUSE,HOUSE,190000.0,2.0,115.0,1,0,3.0,0,,0,,0,BUY_REGULAR,AS_NEW,0,20221569,277.0,
5060,HOUSE,HOUSE,189000.0,3.0,152.0,0,0,3.0,0,,1,,0,BUY_REGULAR,GOOD,0,20168242,,776.0
7332,HOUSE,HOUSE,195000.0,3.0,206.0,0,0,4.0,1,4165.0,1,55.0,0,BUY_REGULAR,TO_RENOVATE,0,20221653,532.0,4410.0
7060,HOUSE,VILLA,239000.0,3.0,110.0,1,0,4.0,1,400.0,1,120.0,0,BUY_REGULAR,,0,20132955,1145.0,725.0
7301,HOUSE,VILLA,235000.0,5.0,379.0,0,0,3.0,1,629.0,1,25.0,0,BUY_REGULAR,TO_BE_DONE_UP,0,11293525,1829.0,970.0
5570,HOUSE,MIXED_USE_BUILDING,198000.0,3.0,200.0,1,0,2.0,0,,0,,0,BUY_REGULAR,TO_RENOVATE,0,20040266,,
7100,HOUSE,HOUSE,235000.0,4.0,170.0,0,0,,0,,0,,0,BUY_REGULAR,TO_BE_DONE_UP,0,20193208,505.0,
5300,HOUSE,HOUSE,245000.0,3.0,95.0,1,0,4.0,0,,0,,0,BUY_REGULAR,,0,20286729,1006.0,1190.0
